Lung/pleura|Liver|Lung/pleura|Pericardium|Bone|Deceased,1
Lung/pleura|Lung/pleura|Chest Wall|LN (dist)|Bone|Deceased,1
Lung/pleura|Lung/pleura|Bone|LN (dist)|Deceased,1
Lung/pleura|Liver|Brain|Bone|Chest Wall|Deceased,1
Lung/pleura|Lung/pleura|LN (dist)|Adrenal|Ab Wall|Muscles|Deceased,1
Lung/pleura|Liver|Lung/pleura|Brain|Bone|Deceased,1
Lung/pleura|Lung/pleura|Liver|Adrenal|Lung/pleura|Bone|Adrenal|Brain|Deceased,1
Lung/pleura|Lung/pleura|LN (dist)|Bone|Liver|Deceased,1
Lung/pleura|Liver|Lung/pleura|LN (dist)|Liver|Deceased,1
Lung/pleura|Lung/pleura|Brain|LN (dist)|Gallbladder|Bone|Deceased,1
Lung/pleura|Pericardium|Bone|Lung/pleura|Deceased,1
Lung/pleura|Lung/pleura|Ab Wall|Deceased,1
Lung/pleura|Lung/pleura|LN (dist)|Kidney|Pericardium|GI Tract|Muscles|Bone|Chest Wall|Ab Wall|Deceased,1
Lung/pleura|Liver|Lung/pleura|LN (dist)|Bone|Brain|Adrenal|Pericardium|Deceased,1
Lung/pleura|Lung/pleura|Other CNS|Deceased,1
Lung/pleura|Lung/pleura|LN (dist)|Adrenal|Ab Wall|GI Tract|Deceased,1
Lung/pleura|Liver|Brain|Bone|Deceased,1
Lung/pleura|Lung/pleura|Kidney|Adrenal|Liver|LN (dist)|Kidney|Deceased,1
Lung/pleura|Brain|Bone|Lung/pleura|Other CNS|Deceased,1
Lung/pleura|Liver|Lung/pleura|Brain|Spleen|Bone|Deceased,1
Lung/pleura|Ab Wall|Pancreas|Deceased,1
Lung/pleura|Lung/pleura|Brain|Bone|Ab Wall|Deceased,1
Lung/pleura|Liver|Lung/pleura|Adrenal|Liver|Ab Wall|Deceased,1
Lung/pleura|Liver|Lung/pleura|Ab Wall|Deceased,1
Lung/pleura|Lung/pleura|Chest Wall|Deceased,1
Lung/pleura|Bone|Lung/pleura|Liver|Muscles|Bone|Deceased,1
Lung/pleura|Lung/pleura|Chest Wall|Adrenal|LN (dist)|Deceased,1
Lung/pleura|Liver|Lung/pleura|Brain|LN (dist)|Kidney|Adrenal|Bone|Pericardium|Deceased,1
Lung/pleura|Lung/pleura|Chest Wall|Ab Wall|Lung/pleura|LN (dist)|Bone|Living,1
Lung/pleura|Bone|Lung/pleura|Liver|Brain|Lung/pleura|Bone|Deceased,1
Lung/pleura|Lung/pleura|LN (dist)|Brain|Liver|Bone|LN (dist)|Brain|Other CNS|Deceased,1
Lung/pleura|Adrenal|Bone|Lung/pleura|Ab Wall|Deceased,1
Lung/pleura|LN (dist)|Ab Wall|Pericardium|Bone|Deceased,1
Lung/pleura|Liver|Lung/pleura|Bone|Brain|Other CNS|Deceased,1
Lung/pleura|Liver|Muscles|Bone|Deceased,1
Lung/pleura|Brain|Lung/pleura|Bone|Deceased,1
Lung/pleura|Lung/pleura|Chest Wall|LN (dist)|Bone|Liver|Deceased,1
Lung/pleura|LN (dist)|Bone|Lung/pleura|Deceased,1
Lung/pleura|Lung/pleura|Brain|LN (dist)|Pericardium|Bone|Liver|Deceased,1
Lung/pleura|Brain|Bone|Lung/pleura|Liver|Deceased,1
Lung/pleura|Bone|Lung/pleura|Adrenal|LN (dist)|Lung/pleura|Brain|Deceased,1
Lung/pleura|Lung/pleura|Pericardium|Bone|Deceased,1
Lung/pleura|Liver|Lung/pleura|LN (dist)|Adrenal|Pericardium|Spleen|Muscles|Bone|Pancreas|Brain|Deceased,1
Lung/pleura|Bone|Brain|Deceased,1
Lung/pleura|Lung/pleura|Bone|Ab Wall|Bone|Brain|Other CNS|Deceased,1
Lung/pleura|Liver|Lung/pleura|LN (dist)|Ab Wall|GI Tract|Bone|Deceased,1
Lung/pleura|Liver|Lung/pleura|Bone|Oropharynx|Liver|Lung/pleura|LN (dist)|Pericardium|Deceased,1
Lung/pleura|Lung/pleura|LN (dist)|Brain|Deceased,1
Lung/pleura|Lung/pleura|Brain|Liver|LN (dist)|Brain|Lung/pleura|Liver|Lung/pleura|Bone|Deceased,1
Lung/pleura|Lung/pleura|Chest Wall|Brain|Ab Wall|Deceased,1
Lung/pleura|Brain|Bone|Lung/pleura|Brain|Other CNS|Deceased,1
Lung/pleura|Brain|LN (dist)|Adrenal|Bone|Deceased,1
